user_id,number,stimuli,estimation
91115378,two,2,62
91115378,six,5,57
91115378,three,4,57
91115378,one,1,55
91115378,five,6,54
91115378,four,3,54
18090983,three,4,42
18090983,six,5,0
18090983,two,1,0
18090983,one,2,0
18090983,five,3,0
18090983,four,6,0
00561951,five,1,70
00561951,four,3,58
00561951,six,4,80
00561951,three,2,70
00561951,two,6,75
00561951,one,5,70
85491275,four,2,75
85491275,one,5,90
85491275,two,3,100
85491275,six,1,90
85491275,five,4,50
85491275,three,6,50
09330149,four,6,75
09330149,five,2,70
09330149,one,1,55
09330149,two,5,55
09330149,six,3,80
09330149,three,4,60
92679327,two,1,90
92679327,three,5,65
92679327,five,2,50
92679327,one,6,50
92679327,four,4,65
92679327,six,3,75
76714308,four,1,30
76714308,one,3,90
76714308,two,5,60
76714308,six,2,20
76714308,three,6,85
76714308,five,4,35
25932308,five,1,90
25932308,six,4,91
25932308,one,6,100
25932308,three,3,71
25932308,four,5,30
25932308,two,2,40
62392073,five,2,77
62392073,six,5,80
62392073,three,6,60
62392073,four,4,90
62392073,two,3,80
62392073,one,1,50
88029586,two,5,46
88029586,four,4,73
88029586,one,3,61
88029586,five,1,44
88029586,six,6,36
88029586,three,2,11
03421943,six,6,15
03421943,two,1,69
03421943,four,5,75
03421943,five,2,35
03421943,one,3,62
03421943,three,4,54
